Artistas,Link,Descripción,Responsable,Produción
Amparo Ochoa,Cantautora -  Mexicana – 4Julio,https://co.ivoox.com/es/amparo-ochoa-cantautora-mexicana-8211-4julio-audios-mp3_rf_54664581_1.html,"Amparo Ochoa, Cantautora -  Mexicana – 4Julio",No aplica
En 1965 participó y ganó un concurso en su ciudad natal,"con la canción llamada """"Hermosísimo Lucero"""". Desde entonces empleó la música para defender temas sociales",tanto mexicanos como del resto de Latinoamérica.,No aplica,No aplica
EL poeta Mexicano Elías Nandino,desde una cantidad escribe esta gran obra literaria.,No aplica,No aplica,No aplica
Desde muy pequeña,destacó cantando en casa junto a su padre Don Chano y en los actos escolares.,No aplica,No aplica,No aplica
"Escucharemos a Ismael Rodríguez Gómez. Viajero y amante de las bicicletas""",Efrain Cardona Gaviria,El Viaje – 12/Mayo,No aplica,No aplica
"Nandino cercano al grupo Mexicano Contemporáneos.""",Efrain Cardona Gaviria,El poeta Mexicano Elías Nandino - Bolero Usted,No aplica,No aplica
"Leeremos una serie de cartas famosas.""",Efrain Cardona Gaviria,Cartas Famosas 21Julio,No aplica,No aplica
"Directora: Diana Vega""",Efrain Cardona Gaviria,Productor: Luz Mery Bermúdez,No aplica,No aplica
10 Cartas Famosas - Revista Colombia Arcadia. 14Julio,https://co.ivoox.com/es/10-cartas-famosas-revista-colombia-arcadia-14julio-audios-mp3_rf_54661524_1.html,10 Cartas Famosas - Revista Colombia Arcadia. 14Julio,No aplica,No aplica
La Alquimia – 19/Mayo,https://co.ivoox.com/es/alquimia-19-mayo-audios-mp3_rf_51917660_1.html,La alquimia como el conjunto de especulaciones y experiencias generalmente de carácter esotérico relativas a las transmutaciones de la materia que influyo en el origen de la ciencia química tuvo como fines principales la búsqueda de la piedra filosofal y de la panacea universal.,Efrain Cardona Gaviria,La Alquimia – 19/Mayo
Ana de Sousa  - Reina de Angola. 28Julio,https://co.ivoox.com/es/ana-sousa-reina-angola-28julio-audios-mp3_rf_54661582_1.html,Ana de Sousa  - Reina de Angola. 28Julio,No aplica,No aplica
Baúl de Cartas - Aeroplano Vickers Vimy,https://co.ivoox.com/es/baul-cartas-aeroplano-vickers-vimy-audios-mp3_rf_48700467_1.html,"Durante el programa se hace mención del aeroplano conocido como ""Vickers Vimy"" que fue diseñado como bombardero durante la primera guerra mundial y haciendo énfasis al histórico vuelo trasatlántico en 1919 entre Londres y Australia.",Efrain Cardona Gaviria,Baúl de Cartas - Aeroplano Vickers Vimy
Baúl de Cartas - Alejandra Pizarnik,https://co.ivoox.com/es/baul-cartas-alejandra-pizarnik-audios-mp3_rf_49061203_1.html,"Durante este programa, mostramos a través de cartas",No aplica,No aplica
Chavela Vargas,https://co.ivoox.com/es/baul-cartas-chavela-vargas-audios-mp3_rf_53652091_1.html,"En este episodio de Baúl de cartas presentamos a “Chavela Vargas” biografía, pensamiento y rebeldía. /--/Realizador: Sara Gaviria Piedrahita /--/Fecha de emisión: 07/07/2020",Efrain Cardona Gaviria,Chavela Vargas
Baúl de Cartas - La Pereiranidad,https://co.ivoox.com/es/baul-cartas-la-pereiranidad-audios-mp3_rf_44635191_1.html,Pereiranidad - 06/oct/2020,Efrain Cardona Gaviria,Baúl de Cartas - La Pereiranidad
Baúl de Cartas - La Resistencia Italiana,https://co.ivoox.com/es/baul-cartas-la-resistencia-italiana-audios-mp3_rf_50710545_1.html,"En el aniversario número 75 de la caída del fascismo en Italia, el programa tendrá como temática algunos testimonios escritos por personas que vivieron de cerca dichos acontecimientos. Además estará el acompañamiento musical en varias versiones de la canción catalogada como himno de la resistencia partisana ""Bella Ciao"".",Efrain Cardona Gaviria,Baúl de Cartas - La Resistencia Italiana
Baúl de Cartas - Viaje en Tren,https://co.ivoox.com/es/baul-cartas-viaje-tren-audios-mp3_rf_48684050_1.html,Durante el programa se relatan historias dentro de algunos viajes en tren y también haciendo referencia a este importante medio de transporte a través del tiempos.,Efrain Cardona Gaviria,Baúl de Cartas - Viaje en Tren
La Bolsa Amarilla – Lygia Bojunga Nunes – 7/Abril,https://co.ivoox.com/es/bolsa-amarilla-lygia-bojunga-nunes-audios-mp3_rf_51798170_1.html,"Hablaremos de un gallo rebelde, una cometa, una sombrilla y tres deseos creciendo como locos al interior de una bolsa amarilla.",No aplica,No aplica
